,artist_name,popularity,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Travis Scott,97,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,0.00513,0.834,312820,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,4,0.446
1,Juice WRLD,96,0s3nnoMeVWz3989MkNQiRf,Lucid Dreams,0.349,0.511,239836,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,0.218
2,Kodak Black,95,7l3E7lcozEodtVsSTCkcaA,ZEZE (feat. Travis Scott & Offset),0.071,0.826,225199,0.615,0.0,8,0.0965,-7.979,0,0.219,98.056,4,0.543
3,Marshmello,99,2dpaYNEQHiRxtZbfNsse99,Happier,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671
4,XXXTENTACION,95,3ee8Jmje8o58CHK66QrVC2,SAD!,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
5,XXXTENTACION,95,0JP9xo3adEtGSdUEISiszL,Moonlight,0.556,0.921,135090,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,0.711
6,Kanye West,97,4S8d14HvHb70ImctNgVzQQ,I Love It (& Lil Pump),0.0114,0.901,127947,0.522,0.0,2,0.259,-8.304,1,0.33,104.053,4,0.329
7,6ix9ine,94,2E124GmJRnBJuXbTb4cPUB,FEFE (feat. Nicki Minaj & Murda Beatz),0.088,0.931,179405,0.387,0.0,1,0.136,-9.127,1,0.412,125.978,4,0.376
8,Lil Peep,96,0Dn40gxVCMo5TkgS8Ik18Q,Falling Down,0.0175,0.669,196400,0.574,0.00294,4,0.146,-6.442,0,0.0286,120.013,4,0.273
9,Drake,93,0TlLq3lA83rQOYtrqBqSct,Nonstop,0.0164,0.912,238614,0.412,0.013,7,0.104,-8.074,1,0.124,154.983,4,0.422
10,Sheck Wes,91,1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,0.194,0.729,183907,0.625,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,0.261
11,Lil Baby,91,1BxkZE73h9BN3qwuA15TA3,Drip Too Hard,0.0945,0.9,145603,0.653,0.0,1,0.528,-6.962,0,0.289,112.503,4,0.399
12,Bad Bunny,97,116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),0.0143,0.818,210368,0.54,0.000512,6,0.099,-6.35,0,0.0544,97.064,4,0.174
13,Post Malone,94,7dt6x5M1jzdTEt8oCbisTK,Better Now,0.354,0.68,231267,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,4,0.374
14,DJ Snake,100,4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.153,0.841,212500,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591
15,Halsey,94,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533
16,Lil Wayne,91,0dbTQYW3Ad1FTzIA9t90E8,Mona Lisa (feat. Kendrick Lamar),0.371,0.855,324189,0.694,0.0,2,0.109,-4.393,1,0.169,122.078,4,0.49
17,Drake,97,2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,0.0589,0.835,217925,0.626,6e-05,1,0.396,-5.833,1,0.125,91.03,4,0.35
18,Lil Baby,89,6vN77lE9LK6HP2DewaN6HZ,Yes Indeed,0.035,0.964,142273,0.346,0.0,5,0.108,-9.309,0,0.53,119.958,4,0.562
19,Tyga,94,5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),0.0236,0.884,232959,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,4,0.342
20,benny blanco,97,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),0.555,0.56,173800,0.68,0.0,6,0.116,-7.648,0,0.321,89.391,4,0.319
21,Gucci Mane,91,0QIjsbm2fh1cJ45XO9eGqq,Wake Up in the Sky,0.00381,0.8,204665,0.578,0.0,4,0.359,-5.144,0,0.0485,143.01,4,0.367
22,Eminem,94,60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),0.0627,0.876,244679,0.786,0.0,10,0.127,-4.884,0,0.306,153.068,4,0.575
23,Lil Baby,90,6wWaVoUOzLQJHd3bWAUpdZ,"Never Recover (Lil Baby & Gunna, Drake)",0.0716,0.757,194732,0.69,0.0,1,0.192,-5.327,0,0.282,132.064,4,0.914
24,Lil Uzi Vert,89,0Fpen1PTuEnCmOJtUU9Iud,New Patek,0.0367,0.85,343099,0.785,0.0,8,0.155,-4.963,0,0.345,145.063,4,0.718
25,Post Malone,92,1A6OTy97kk0mMdm78rHsm8,Sunflower - Spider-Man: Into the Spider-Verse,0.541,0.757,158053,0.501,0.0,2,0.0718,-5.593,1,0.0466,89.931,4,0.91
26,Cardi B,94,58q2HKrzhC3ozto2nDdN4z,I Like It,0.099,0.816,253390,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,4,0.65
27,Juice WRLD,88,0XySogm94T51XF5F2jumXm,All Girls Are The Same,0.0769,0.671,165820,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,0.203
28,Flipp Dinero,88,14mHfNsSHN0FbLftyjrV9g,Leave Me Alone,0.107,0.792,195637,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742
29,Juice WRLD,88,29tc0GbW0pTSBZSCZF3NWk,Lean Wit Me,0.0414,0.665,175755,0.651,0.0,1,0.0896,-5.515,1,0.156,163.935,4,0.237
30,YG,87,0ZNrc4kNeQYD9koZ3KvCsy,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0.00552,0.745,237240,0.346,0.0,1,0.0881,-7.709,1,0.331,203.911,4,0.112
31,XXXTENTACION,91,7AFASza1mXqntmGtbxXprO,changes,0.883,0.669,121887,0.308,0.0,11,0.0984,-10.068,1,0.029,64.934,4,0.52
32,Lil Wayne,88,5BQrp63SHCVf4bzCzJePne,Don't Cry (feat. XXXTENTACION),0.409,0.585,249450,0.709,0.0,8,0.183,-6.072,1,0.319,111.913,4,0.21
33,Lil Wayne,87,3wScL5W8H40zzCKN0atfBk,Uproar,0.0595,0.743,194184,0.87,0.0,1,0.299,-2.188,1,0.212,99.075,4,0.884
34,Travis Scott,89,7wBJfHzpfI3032CSD7CE2m,STARGAZING,0.00947,0.487,270715,0.789,4.05e-06,8,0.189,-3.69,1,0.044,150.007,4,0.0564
35,Post Malone,90,3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),0.58,0.739,221440,0.559,0.0,8,0.112,-8.011,1,0.117,140.124,4,0.439
36,French Montana,91,04MLEeAMuV9IlHEsD8vF6A,No Stylist,0.0215,0.765,192172,0.704,0.0,5,0.227,-4.589,0,0.127,147.055,4,0.498
37,6ix9ine,90,1jQvUmf16VE9WQCPuK2e8K,STOOPID,0.13,0.733,152000,0.63,0.0,11,0.162,-4.296,1,0.395,149.989,4,0.832
38,Post Malone,92,0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),0.117,0.587,218147,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14
39,Drake,91,6DCZcSspjsKoFjzjrWoCdn,God's Plan,0.0332,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357
40,Imagine Dragons,94,4zIO3ilp5HvTeK3HJHxhMP,Natural,0.216,0.448,189467,0.612,0.0,2,0.08,-6.106,1,0.0708,97.773,4,0.213
41,Bazzi,93,4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),0.346,0.638,180000,0.717,0.0,2,0.105,-4.722,1,0.0337,100.027,4,0.249
42,The Chainsmokers,92,15kQGEy89K8deJcZVFEn0N,This Feeling,0.0558,0.575,197947,0.571,0.0,1,0.0912,-7.906,1,0.0439,105.049,4,0.449
43,Travis Scott,87,7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,0.283,0.785,150043,0.554,3.4e-06,0,0.116,-6.571,1,0.0409,128.047,4,0.144
44,Lil Wayne,86,0CBQ0m3mufWH75LTYB3s6h,Let It Fly (feat. Travis Scott),0.0414,0.902,186872,0.819,0.0,1,0.106,-3.321,1,0.317,89.0,4,0.746
45,Ariana Grande,92,4OafepJy2teCjYJbvFE60J,breathin,0.0211,0.568,198160,0.656,1.37e-05,8,0.213,-5.413,1,0.0433,100.049,4,0.364
46,Aminé,87,5qHirGR7M9tdm6C17DlzSY,REEL IT IN,0.073,0.754,121347,0.342,0.0,10,0.193,-8.677,0,0.0991,128.981,4,0.423
47,BlocBoy JB,88,4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),0.00104,0.922,181263,0.581,5.86e-05,10,0.105,-7.495,1,0.27,140.022,4,0.595
48,Drake,89,3CA9pLiwRIGtUBiMjbZmRw,Nice For What,0.0891,0.586,210747,0.909,0.000109,8,0.119,-6.474,1,0.0705,93.394,4,0.757
49,Ariana Grande,92,5OCJzvD7sykQEKHH7qAC3C,God is a woman,0.0233,0.602,197547,0.658,6e-05,1,0.237,-5.934,1,0.0558,145.031,4,0.268
50,DJ Khaled,92,5WvAo7DNuPRmk4APhdPzi8,No Brainer,0.0733,0.552,260000,0.76,0.0,0,0.0865,-4.706,1,0.342,135.702,5,0.639
51,Future,85,5274I4mUMnYczyeXkGDWZN,Fine China,0.0484,0.656,141587,0.542,0.0,7,0.126,-7.358,1,0.323,166.111,4,0.551
52,Billie Eilish,90,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),0.934,0.351,200186,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,4,0.12
53,Eminem,89,1jo3TwNGCXfNdB5uba3ZVv,Killshot,0.0989,0.892,253580,0.651,0.0,0,0.371,-8.645,0,0.378,105.814,4,0.599
54,Calvin Harris,97,5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),0.0119,0.781,213309,0.768,4.91e-06,11,0.325,-5.991,1,0.0394,123.07,4,0.486
55,XXXTENTACION,86,2LskIZrCeLxRvCiGP8gxlh,Arms Around You (feat. Maluma & Swae Lee),0.0302,0.694,198903,0.724,2.02e-06,9,0.126,-5.45,0,0.0424,104.943,4,0.287
56,Panic! At The Disco,91,1rqqCSm0Qe4I9rUvWncaom,High Hopes,0.193,0.579,190947,0.904,0.0,5,0.064,-2.729,1,0.0618,82.014,4,0.681
57,Quavo,85,33tNYw9oMtSkGe27NpgS64,WORKIN ME,0.182,0.79,169620,0.629,7.06e-06,8,0.338,-4.055,1,0.142,170.023,4,0.267
58,Khalid,88,45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),0.0956,0.708,201707,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.338
59,Lil Baby,86,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),0.103,0.896,145543,0.671,0.0,1,0.552,-6.977,0,0.289,112.502,4,0.358
60,Dean Lewis,95,3EPXxR3ImUwfayaurPi3cm,Be Alright,0.697,0.553,196373,0.586,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,0.443
61,Billie Eilish,89,14JzyD6FlBD5z0wV5P07YI,when the party's over,0.979,0.498,199931,0.104,7.86e-05,1,0.0895,-14.08,0,0.0621,124.001,3,0.205
62,Eminem,89,2jt2WxXMCD4zjACthkJQVE,The Ringer,0.0311,0.939,337941,0.551,0.0,1,0.192,-9.126,1,0.291,118.552,4,0.42
63,Lil Wayne,84,0Y7di9ZCmB6Elad5WISaPc,Dedicate,0.033,0.879,189909,0.662,0.0,2,0.716,-6.162,1,0.309,117.975,4,0.723
64,XXXTENTACION,87,2ZRo7axmMPeSVUvDbGkJah,Hope,0.661,0.592,110886,0.457,0.000331,9,0.146,-6.081,0,0.0603,146.04,4,0.225
65,Maroon 5,93,6FRLCMO5TUHTexlWo8ym1W,Girls Like You (feat. Cardi B),0.568,0.851,235545,0.541,0.0,0,0.13,-6.825,1,0.0505,124.959,4,0.448
66,Ariana Grande,91,2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354
67,Nio Garcia,93,3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,0.542,0.903,417920,0.675,1.28e-05,11,0.0595,-3.445,0,0.214,96.507,4,0.442
68,A$AP Rocky,89,7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine),0.0609,0.85,205040,0.569,0.0816,5,0.1,-8.152,0,0.136,80.02,4,0.294
69,Mac Miller,86,5bJ1DrEM4hNCafcDd1oxHx,Self Care,0.367,0.52,345133,0.538,0.00187,1,0.119,-8.109,1,0.206,141.894,4,0.177
70,XXXTENTACION,87,4UKCKdYiLN6IMA5ZESUTL7,the remedy for a broken heart (why am I so in love),0.779,0.699,160184,0.304,0.000993,1,0.137,-11.192,1,0.0993,119.705,4,0.271
71,Young Thug,85,1Jl21sidRpEdlVBvYbssLx,Sin (feat. Jaden Smith),0.00544,0.889,202533,0.385,0.0,11,0.274,-11.767,0,0.165,125.995,4,0.235
72,Rich The Kid,85,1ZAyjvIk9YiD76yYy0TEG6,Plug Walk,0.202,0.876,175230,0.519,0.0,11,0.108,-6.531,1,0.143,94.981,4,0.158
73,Joji,86,0UyljEbX9dqI1K0sqdv6B6,SLOW DANCING IN THE DARK,0.544,0.515,209274,0.479,0.00598,3,0.191,-7.458,1,0.0261,88.964,4,0.284
74,Wiz Khalifa,83,7IBSffWIu7P2MC7kMwy2FM,Hopeless Romantic (feat. Swae Lee),0.307,0.877,226743,0.477,0.0,9,0.0929,-7.379,0,0.0587,127.023,4,0.552
75,Lil Wayne,84,5cGpjfgAvidLy6znwkCxkP,Can't Be Broken,0.121,0.578,193243,0.577,0.0,2,0.086,-5.997,0,0.202,99.288,5,0.154
76,Silk City,93,5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),0.0104,0.588,238173,0.67,3.33e-06,0,0.338,-6.439,1,0.0473,118.159,4,0.505
77,Khalid,85,6SkHm6poyKfzV6kc9any8k,Suncity (feat. Empress Of),0.0998,0.694,189493,0.63,0.000635,7,0.12,-6.84,0,0.162,90.045,4,0.341
78,Quavo,85,3edzl4zvKFi0D3iuF6cs2f,PASS OUT (feat. 21 Savage),0.0403,0.917,224903,0.786,0.0,11,0.195,-4.921,0,0.208,143.038,4,0.441
79,Drake,85,7rC5Pl8rQSX4myONQHYPBK,Mob Ties,0.0456,0.755,205147,0.575,0.00124,4,0.276,-8.393,0,0.0678,85.987,4,0.49
80,Future,82,6gzIcEUuswJQGfJNPYMjjv,Hard Work Pays Off,0.327,0.736,224507,0.482,0.0,4,0.229,-8.242,1,0.196,140.064,4,0.608
81,Khalid,83,7vGGAJBkHKxKtOnGjQduDV,Saturday Nights,0.635,0.54,209547,0.439,1.93e-05,10,0.0993,-8.591,1,0.115,167.908,4,0.371
82,Lil Wayne,84,3JX0dOCIAiaR8MP3ryXWuM,What About Me (feat. Sosamann),0.0263,0.784,216961,0.44,1.9e-06,10,0.122,-6.566,1,0.0401,118.089,4,0.22
83,Tiësto,91,4kWO6O1BUXcZmaxitpVUwp,Jackie Chan,0.374,0.747,215760,0.834,0.0,3,0.0586,-2.867,0,0.045,128.005,4,0.687
